id,pressure,x,y,z
0,14500.09000135,0,0.5,0
0.01,14500.09000135,0.01,0.5,0
0.02,14500.09000135,0.02,0.5,0
0.03,14500.09000135,0.03,0.5,0
0.04,14500.09000135,0.04,0.5,0
0.05,14500.09000135,0.05,0.5,0
0.06,14500.09000135,0.06,0.5,0
0.07,14500.09000135,0.07,0.5,0
0.08,14500.09000135,0.08,0.5,0
0.09,14500.09000135,0.09,0.5,0
0.1,14500.09000135,0.1,0.5,0
0.11,14500.09000135,0.11,0.5,0
0.12,14500.09000135,0.12,0.5,0
0.13,14500.09000135,0.13,0.5,0
0.14,14500.09000135,0.14,0.5,0
0.15,14500.09000135,0.15,0.5,0
0.16,14500.09000135,0.16,0.5,0
0.17,14500.09000135,0.17,0.5,0
0.18,14500.09000135,0.18,0.5,0
0.19,14500.09000135,0.19,0.5,0
0.2,14500.09000135,0.2,0.5,0
0.21,14500.09000135,0.21,0.5,0
0.22,14500.09000135,0.22,0.5,0
0.23,14500.09000135,0.23,0.5,0
0.24,14500.09000135,0.24,0.5,0
0.25,14500.09000135,0.25,0.5,0
0.26,14500.09000135,0.26,0.5,0
0.27,14500.09000135,0.27,0.5,0
0.28,14500.09000135,0.28,0.5,0
0.29,14500.09000135,0.29,0.5,0
0.3,14500.09000135,0.3,0.5,0
0.31,14500.09000135,0.31,0.5,0
0.32,14500.09000135,0.32,0.5,0
0.33,14500.09000135,0.33,0.5,0
0.34,14500.09000135,0.34,0.5,0
0.35,14500.09000135,0.35,0.5,0
0.36,14500.09000135,0.36,0.5,0
0.37,14500.09000135,0.37,0.5,0
0.38,14500.09000135,0.38,0.5,0
0.39,14500.09000135,0.39,0.5,0
0.4,14500.09000135,0.4,0.5,0
0.41,14500.09000135,0.41,0.5,0
0.42,14500.09000135,0.42,0.5,0
0.43,14500.09000135,0.43,0.5,0
0.44,14500.09000135,0.44,0.5,0
0.45,14500.09000135,0.45,0.5,0
0.46,14500.09000135,0.46,0.5,0
